Wall time,Step,Value
1683120211.6776364,1293,-555.6328735351562
1683120215.748021,1294,-1000.1453857421875
1683120221.9443867,1296,-787.822509765625
1683120235.2013757,1299,-1000.0944213867188
1683120236.4124823,1300,-322.22119140625
1683120238.0502095,1302,-205.11599731445312
1683120239.583823,1303,-240.53981018066406
1683120241.862026,1304,-444.46630859375
1683120257.9673455,1310,-1000.0442504882812
1683120264.8577628,1312,-715.5613403320312
1683120266.6307032,1313,-277.4945373535156
1683120269.869897,1315,-1000.0038452148438
1683120271.0135884,1316,-216.16766357421875
1683120275.15721,1319,-603.5598754882812
1683120277.8289824,1320,-1000.0657958984375
1683120291.1618543,1325,-1000.0972900390625
1683120291.800128,1326,-177.25128173828125
1683120295.5097268,1327,-854.2850341796875
1683120300.1078048,1330,-195.30335998535156
1683120303.8281007,1332,-198.0050048828125
1683120304.4075649,1333,-148.1942138671875
1683120308.6267543,1334,-1000.2110595703125
1683120309.2246635,1335,-151.7244110107422
1683120310.6323984,1336,-463.8603515625
1683120313.8674023,1337,-1000.0877075195312
1683120319.5059876,1340,-607.9503173828125
1683120329.050186,1343,-1000.227783203125
1683120335.2971938,1345,-805.867431640625
1683120341.314072,1348,-592.6586303710938
1683120342.8588324,1349,-310.24188232421875
1683120343.4336205,1350,-140.70484924316406
1683120344.1638892,1351,-168.0761260986328
1683120355.9331436,1355,-721.599365234375
1683120362.778146,1359,-143.6514129638672
1683120367.0688093,1361,-382.70123291015625
1683120370.48177,1362,-570.69873046875
1683120378.4479885,1366,-127.67526245117188
1683120386.4997683,1370,-1000.1273193359375
1683120398.8332863,1377,-133.07281494140625
1683120399.3838136,1378,-136.32357788085938
1683120402.9976053,1379,-1000.2122802734375
1683120405.4197,1382,-129.5897674560547
1683120406.5392137,1384,-135.2766876220703
1683120407.131627,1385,-134.12680053710938
1683120411.459781,1387,-148.70791625976562
1683120412.0206835,1388,-132.30621337890625
1683120414.1805713,1389,-579.2091674804688
1683120415.3482223,1391,-145.40786743164062
1683120418.092015,1392,-637.462158203125
1683120422.648154,1395,-499.3797912597656
1683120448.6729896,1412,-133.6436309814453
1683120449.2893405,1413,-130.5964813232422
1683120450.0196395,1414,-145.16729736328125
1683120450.6032293,1415,-124.65176391601562
1683120453.8795059,1419,-299.764892578125
1683120458.806233,1422,-628.0564575195312
1683120460.78957,1423,-581.6097412109375
1683120463.6986125,1426,-130.21192932128906
1683120466.981978,1427,-1000.2171020507812
1683120467.5069988,1428,-124.91703033447266
1683120473.8489196,1432,-127.45037078857422
1683120474.5449405,1433,-170.40875244140625
1683120475.1426356,1434,-129.68594360351562
1683120476.290751,1436,-129.49859619140625
1683120476.8248315,1437,-127.18653869628906
1683120479.1826417,1438,-406.7886047363281
1683120484.1445622,1440,-128.98114013671875
1683120486.052696,1442,-130.5579376220703
1683120489.3418388,1448,-126.81920623779297
1683120490.4058785,1450,-125.54447174072266
1683120493.1508393,1455,-125.22560119628906
1683120493.7332823,1456,-128.85833740234375
1683120498.7468188,1465,-126.430419921875
1683120499.2694223,1466,-123.3972396850586
1683120501.531401,1470,-125.55453491210938
1683120505.3252997,1477,-143.064453125
1683120507.4967418,1481,-123.45301055908203
1683120508.0372953,1482,-125.0635757446289
1683120509.5962577,1485,-124.02190399169922
1683120510.1992052,1486,-122.86717224121094
1683120511.8219573,1489,-126.20014190673828
1683120512.980037,1491,-124.31531524658203
1683120513.6146686,1492,-124.97905731201172
1683120514.1733346,1493,-128.37451171875
1683120520.7336116,1500,-122.89817810058594
1683120521.2451377,1501,-125.26786041259766
1683120521.7723634,1502,-124.96141052246094
1683120522.309924,1503,-123.63335418701172
1683120523.350421,1505,-123.36620330810547
1683120523.8680367,1506,-123.78527069091797
1683120524.3857007,1507,-126.86656951904297
1683120524.8848805,1508,-124.27684020996094
1683120525.4004989,1509,-122.06810760498047
1683120526.0066512,1510,-125.56047821044922
1683120526.512483,1511,-124.45608520507812
1683120532.3165534,1516,-1000.1310424804688
1683120533.3647513,1518,-122.06810760498047
1683120535.9621289,1523,-124.39059448242188
1683120536.5390973,1524,-122.06810760498047
1683120537.0575788,1525,-126.12094116210938
1683120538.1307304,1527,-122.06810760498047
1683120541.8582003,1534,-122.26683807373047
1683120543.011361,1536,-123.44215393066406
1683120545.7894344,1541,-122.06810760498047
1683120548.54356,1546,-122.06810760498047
1683120549.603741,1548,-124.2850341796875
1683120550.133057,1549,-122.60542297363281
1683120551.173812,1551,-122.06810760498047
1683120551.714436,1552,-122.26637268066406
1683120552.82845,1554,-124.30036163330078
1683120553.3526387,1555,-123.89205169677734
1683120556.5155644,1561,-122.06810760498047
1683120557.0325627,1562,-123.04598999023438
1683120557.6179943,1563,-126.29513549804688
1683120560.2047722,1568,-123.60496520996094
1683120560.702081,1569,-122.06810760498047
